nombre,ruta_completa,ruta_relativa,directorio_padre,tipo,extension,mime_type,tamano,fecha_modificacion,fecha_creacion,permisos,profundidad,categoria,dimension
03 BBDD Laboratorios UTEM [Mixta].xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\03 BBDD Laboratorios UTEM [Mixta].xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\03 BBDD Laboratorios UTEM [Mixta].xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,106.07 KB,2025-02-16 19:44:08,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Data Proyetos Internos - Externos 2020-2024 DINV (1).xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\Data Proyetos Internos - Externos 2020-2024 DINV (1).xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\Data Proyetos Internos - Externos 2020-2024 DINV (1).xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,52.58 KB,2025-02-16 19:53:16,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Nomina Equipamiento e Infraestructura_IDT (1).xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\Nomina Equipamiento e Infraestructura_IDT (1).xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\Nomina Equipamiento e Infraestructura_IDT (1).xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,24.26 KB,2025-02-16 19:49:39,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Nomina Equipamiento e Infraestructura_IDT.xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\Nomina Equipamiento e Infraestructura_IDT.xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\Nomina Equipamiento e Infraestructura_IDT.xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,24.26 KB,2025-02-18 00:59:00,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Publicaciones UTEM- 2020-2025 (1).xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\Publicaciones UTEM- 2020-2025 (1).xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\Publicaciones UTEM- 2020-2025 (1).xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,655.70 KB,2025-02-16 19:51:56,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Dimensión 3_ Programas de postgrado y claustros académicos,streamlit_app\Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos,Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos,Institucional\data lake\Datos,Directorio,,,688.71 KB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,3,Institucional,Tecnologías de la Información
Nomina Equipamiento e Infraestructura_IDT.xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos\Nomina Equipamiento e Infraestructura_IDT.xlsx,Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos\Nomina Equipamiento e Infraestructura_IDT.xlsx,Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,24.26 KB,2025-02-16 19:43:52,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
N° de programas de postgrado con formación semipresencial.xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos\N° de programas de postgrado con formación semipresencial.xlsx,Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos\N° de programas de postgrado con formación semipresencial.xlsx,Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,8.75 KB,2025-02-16 19:37:47,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Publicaciones UTEM- 2020-2025.xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos\Publicaciones UTEM- 2020-2025.xlsx,Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos\Publicaciones UTEM- 2020-2025.xlsx,Institucional\data lake\Datos\Dimensión 3_ Programas de postgrado y claustros académicos,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,655.70 KB,2025-02-16 19:40:08,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Dimensión 4_Líneas de investigación y capital humano avanzado,streamlit_app\Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado,Institucional\data lake\Datos,Directorio,,,116.23 KB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,3,Institucional,Tecnologías de la Información
Data Proyetos Internos - Externos 2020-2024 DINV.xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado\Data Proyetos Internos - Externos 2020-2024 DINV.xlsx,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado\Data Proyetos Internos - Externos 2020-2024 DINV.xlsx,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,52.58 KB,2025-02-16 19:42:12,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Nomina Equipamiento e Infraestructura_IDT.xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado\Nomina Equipamiento e Infraestructura_IDT.xlsx,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado\Nomina Equipamiento e Infraestructura_IDT.xlsx,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,24.26 KB,2025-02-16 19:43:52,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
N° de programas de postgrado con formación semipresencial.xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado\N° de programas de postgrado con formación semipresencial.xlsx,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado\N° de programas de postgrado con formación semipresencial.xlsx,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,8.75 KB,2025-02-16 19:37:47,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
datos_proyectos_anid_utem.csv,streamlit_app\Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado\datos_proyectos_anid_utem.csv,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado\datos_proyectos_anid_utem.csv,Institucional\data lake\Datos\Dimensión 4_Líneas de investigación y capital humano avanzado,Archivo,.csv,application/vnd.ms-excel,30.65 KB,2025-02-16 19:47:56,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Dimensión 5_ Colaboración Internacional,streamlit_app\Institucional\data lake\Datos\Dimensión 5_ Colaboración Internacional,Institucional\data lake\Datos\Dimensión 5_ Colaboración Internacional,Institucional\data lake\Datos,Directorio,,,52.58 KB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,3,Institucional,Tecnologías de la Información
Data Proyetos Internos - Externos 2020-2024 DINV.xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 5_ Colaboración Internacional\Data Proyetos Internos - Externos 2020-2024 DINV.xlsx,Institucional\data lake\Datos\Dimensión 5_ Colaboración Internacional\Data Proyetos Internos - Externos 2020-2024 DINV.xlsx,Institucional\data lake\Datos\Dimensión 5_ Colaboración Internacional,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,52.58 KB,2025-02-18 01:10:00,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
"Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica","streamlit_app\Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica","Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica",Institucional\data lake\Datos,Directorio,,,6.88 MB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,3,Institucional,Tecnologías de la Información
Publicaciones UTEM- 2020-2025.xlsx,"streamlit_app\Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica\Publicaciones UTEM- 2020-2025.xlsx","Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica\Publicaciones UTEM- 2020-2025.xlsx","Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica",Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,655.70 KB,2025-02-18 01:16:06,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
datos_proyectos_anid_utem.xlsx,"streamlit_app\Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica\datos_proyectos_anid_utem.xlsx","Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica\datos_proyectos_anid_utem.xlsx","Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica",Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,17.09 KB,2025-02-18 01:17:43,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
filtrado_POSTULACIONES_2016_2024.xlsx,"streamlit_app\Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica\filtrado_POSTULACIONES_2016_2024.xlsx","Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica\filtrado_POSTULACIONES_2016_2024.xlsx","Institucional\data lake\Datos\Dimensión 6_ Mecanismos de innovación, emprendimiento y transferencia tecnológica",Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,6.22 MB,2025-02-18 01:16:43,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
"Dimensión 7_ Vinculación, difusión y redes asociadas a actividades de I+D+i","streamlit_app\Institucional\data lake\Datos\Dimensión 7_ Vinculación, difusión y redes asociadas a actividades de I+D+i","Institucional\data lake\Datos\Dimensión 7_ Vinculación, difusión y redes asociadas a actividades de I+D+i",Institucional\data lake\Datos,Directorio,,,655.70 KB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,3,Institucional,Tecnologías de la Información
Publicaciones UTEM- 2020-2025.xlsx,"streamlit_app\Institucional\data lake\Datos\Dimensión 7_ Vinculación, difusión y redes asociadas a actividades de I+D+i\Publicaciones UTEM- 2020-2025.xlsx","Institucional\data lake\Datos\Dimensión 7_ Vinculación, difusión y redes asociadas a actividades de I+D+i\Publicaciones UTEM- 2020-2025.xlsx","Institucional\data lake\Datos\Dimensión 7_ Vinculación, difusión y redes asociadas a actividades de I+D+i",Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,655.70 KB,2025-02-16 19:50:24,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Final.csv,streamlit_app\Institucional\data lake\Final.csv,Institucional\data lake\Final.csv,Institucional\data lake,Archivo,.csv,application/vnd.ms-excel,83.99 KB,2025-02-19 00:18:48,2025-03-06 17:24:42,666,2,Institucional,Tecnologías de la Información
descripciones.csv,streamlit_app\Institucional\data lake\descripciones.csv,Institucional\data lake\descripciones.csv,Institucional\data lake,Archivo,.csv,application/vnd.ms-excel,35.56 KB,2025-02-19 00:00:57,2025-03-06 17:24:42,666,2,Institucional,Tecnologías de la Información
ollama.ipynb,streamlit_app\Institucional\data lake\ollama.ipynb,Institucional\data lake\ollama.ipynb,Institucional\data lake,Archivo,.ipynb,,24.24 KB,2025-02-19 01:11:37,2025-03-06 17:24:42,666,2,Institucional,Tecnologías de la Información
registro_archivos.csv,streamlit_app\Institucional\data lake\registro_archivos.csv,Institucional\data lake\registro_archivos.csv,Institucional\data lake,Archivo,.csv,application/vnd.ms-excel,1.69 KB,2025-02-19 00:07:58,2025-03-06 17:24:42,666,2,Institucional,Tecnologías de la Información
registro_archivos.xlsx,streamlit_app\Institucional\data lake\registro_archivos.xlsx,Institucional\data lake\registro_archivos.xlsx,Institucional\data lake,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,5.95 KB,2025-02-19 00:25:15,2025-03-06 17:24:42,666,2,Institucional,Tecnologías de la Información
drive,streamlit_app\Institucional\drive,Institucional\drive,Institucional,Directorio,,,17.07 MB,2025-03-06 17:24:53,2025-03-06 17:24:50,777,1,Institucional,Tecnologías de la Información
"Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas","streamlit_app\Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas",Institucional\drive,Directorio,,,708.28 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,2,Institucional,Tecnologías de la Información
"Monto total anual asignado en fondos para I+D i+e (proyectos externos, publicaciones, entre otros, AIUE, AFD)","streamlit_app\Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Monto total anual asignado en fondos para I+D i+e (proyectos externos, publicaciones, entre otros, AIUE, AFD)","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Monto total anual asignado en fondos para I+D i+e (proyectos externos, publicaciones, entre otros, AIUE, AFD)","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas",Directorio,,,52.58 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,3,Institucional,Tecnologías de la Información
Data Proyetos Internos - Externos 2020-2024 DINV.xlsx,"streamlit_app\Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Monto total anual asignado en fondos para I+D i+e (proyectos externos, publicaciones, entre otros, AIUE, AFD)\Data Proyetos Internos - Externos 2020-2024 DINV.xlsx","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Monto total anual asignado en fondos para I+D i+e (proyectos externos, publicaciones, entre otros, AIUE, AFD)\Data Proyetos Internos - Externos 2020-2024 DINV.xlsx","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Monto total anual asignado en fondos para I+D i+e (proyectos externos, publicaciones, entre otros, AIUE, AFD)",Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,52.58 KB,2025-02-16 19:39:54,2025-03-06 17:24:53,666,4,Institucional,Tecnologías de la Información
N° Tesis de pre y postgrado que contribuyen a soluciones reales,"streamlit_app\Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\N° Tesis de pre y postgrado que contribuyen a soluciones reales","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\N° Tesis de pre y postgrado que contribuyen a soluciones reales","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas",Directorio,,,655.70 KB,2025-03-06 17:24:53,2025-03-06 17:24:53,777,3,Institucional,Tecnologías de la Información
Publicaciones UTEM- 2020-2025.xlsx,"streamlit_app\Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\N° Tesis de pre y postgrado que contribuyen a soluciones reales\Publicaciones UTEM- 2020-2025.xlsx","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\N° Tesis de pre y postgrado que contribuyen a soluciones reales\Publicaciones UTEM- 2020-2025.xlsx","Institucional\drive\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\N° Tesis de pre y postgrado que contribuyen a soluciones reales",Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,655.70 KB,2025-02-16 19:33:22,2025-03-06 17:24:53,666,4,Institucional,Tecnologías de la Información
Dimensión 2_ Infraestructura y equipamiento,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Institucional\drive,Directorio,,,1012.68 KB,2025-03-06 17:24:53,2025-03-06 17:24:52,777,2,Institucional,Tecnologías de la Información
Cantidad de estudiantes activos que participan en publicaciones,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Cantidad de estudiantes activos que participan en publicaciones,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Cantidad de estudiantes activos que participan en publicaciones,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Directorio,,,655.70 KB,2025-03-10 12:38:10,2025-03-06 17:24:53,777,3,Institucional,Tecnologías de la Información
Publicaciones UTEM- 2020-2025 (1).xlsx,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Cantidad de estudiantes activos que participan en publicaciones\Publicaciones UTEM- 2020-2025 (1).xlsx,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Cantidad de estudiantes activos que participan en publicaciones\Publicaciones UTEM- 2020-2025 (1).xlsx,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Cantidad de estudiantes activos que participan en publicaciones,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,655.70 KB,2025-02-16 19:51:56,2025-03-06 17:24:53,666,4,Institucional,Tecnologías de la Información
Catastro de equipamiento científico-tecnológico desagregado por unidad,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Catastro de equipamiento científico-tecnológico desagregado por unidad,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Catastro de equipamiento científico-tecnológico desagregado por unidad,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Directorio,,,24.26 KB,2025-03-10 16:21:34,2025-03-06 17:24:53,777,3,Institucional,Tecnologías de la Información
Nomina Equipamiento e Infraestructura_IDT (1).xlsx,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Catastro de equipamiento científico-tecnológico desagregado por unidad\Nomina Equipamiento e Infraestructura_IDT (1).xlsx,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Catastro de equipamiento científico-tecnológico desagregado por unidad\Nomina Equipamiento e Infraestructura_IDT (1).xlsx,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Catastro de equipamiento científico-tecnológico desagregado por unidad,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,24.26 KB,2025-02-16 19:49:39,2025-03-06 17:24:53,666,4,Institucional,Tecnologías de la Información
Costo Presupuestario a nivel institucional para la compra de equipamiento científico-Tecnológico-Costo Real ejecutado_,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Costo Presupuestario a nivel institucional para la compra de equipamiento científico-Tecnológico-Costo Real ejecutado_,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Costo Presupuestario a nivel institucional para la compra de equipamiento científico-Tecnológico-Costo Real ejecutado_,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Directorio,,,0.00 B,2025-03-06 17:08:55,2025-03-06 17:24:52,777,3,Institucional,Tecnologías de la Información
Indicador de tiempos de ejecución de los proyectos,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Indicador de tiempos de ejecución de los proyectos,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Indicador de tiempos de ejecución de los proyectos,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Directorio,,,52.58 KB,2025-03-10 16:22:31,2025-03-06 17:24:53,777,3,Institucional,Tecnologías de la Información
Data Proyetos Internos - Externos 2020-2024 DINV (1).xlsx,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Indicador de tiempos de ejecución de los proyectos\Data Proyetos Internos - Externos 2020-2024 DINV (1).xlsx,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Indicador de tiempos de ejecución de los proyectos\Data Proyetos Internos - Externos 2020-2024 DINV (1).xlsx,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\Indicador de tiempos de ejecución de los proyectos,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,52.58 KB,2025-02-16 19:53:16,2025-03-06 17:24:53,666,4,Institucional,Tecnologías de la Información
M2 dedicados a laboratorios de investigación v-s laboratorio científico por Facultad- la cantidad de investigadores activos_,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\M2 dedicados a laboratorios de investigación v-s laboratorio científico por Facultad- la cantidad de investigadores activos_,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\M2 dedicados a laboratorios de investigación v-s laboratorio científico por Facultad- la cantidad de investigadores activos_,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Directorio,,,0.00 B,2025-03-06 17:08:55,2025-03-06 17:24:52,777,3,Institucional,Tecnologías de la Información
N° de equipos computacionales de alto rendimiento por laboratorio,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\N° de equipos computacionales de alto rendimiento por laboratorio,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\N° de equipos computacionales de alto rendimiento por laboratorio,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Directorio,,,24.26 KB,2025-03-10 16:24:38,2025-03-06 17:24:52,777,3,Institucional,Tecnologías de la Información
Nomina Equipamiento e Infraestructura_IDT.xlsx,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\N° de equipos computacionales de alto rendimiento por laboratorio\Nomina Equipamiento e Infraestructura_IDT.xlsx,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\N° de equipos computacionales de alto rendimiento por laboratorio\Nomina Equipamiento e Infraestructura_IDT.xlsx,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\N° de equipos computacionales de alto rendimiento por laboratorio,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,24.26 KB,2025-02-16 19:45:03,2025-03-06 17:24:52,666,4,Institucional,Tecnologías de la Información
N° de laboratorios por Facultad y departamento,streamlit_app\Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\N° de laboratorios por Facultad y departamento,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento\N° de laboratorios por Facultad y departamento,Institucional\drive\Dimensión 2_ Infraestructura y equipamiento,Directorio,,,120.99 KB,2025-03-10 16:25:03,2025-03-06 17:24:53,777,3,Institucional,Tecnologías de la Información
